Coefficient,Reference,PI,PU
${X'}_{0}$,-0.0010227240505646944,-0.0010227240505646944,-0.0010227240505646944
${X'}_{u}$,0.00033534183550392414,0.00033534183550392414,0.00033534183550392414
${X'}_{vv}$,-0.0004832481861711293,0.00016872517756417592,-0.014709762506262734
${X'}_{rr}$,-0.0003029073034329989,-0.00015214355430965415,-0.0023030453070683227
${X'}_{vr}$,0.0025531072666886852,0.003049143440618368,-0.01008403674231786
${Y'}_{v}$,-0.00798438359833676,-0.0090375020548767,-0.020667136611640897
${N'}_{v}$,-0.0032061693047463887,-0.0028129304617889846,-0.00012186987555458926
${N'}_{r}$,-0.001551446791630635,-0.0015756901042874405,-0.0025668038338420725
